,Obligor Name,County Code,County,State,CBSA,CBSA_title,Latitude,ZIP,Longitude
0, Broward Cnty Fla Port Auth,12011.0,"Broward, FL",FL,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",26.1216,33301,-80.1288
1, Hawaii (State Of),15003.0,"Honolulu, HI",HI,46520.0,"Urban Honolulu, HI",21.3179,96813,-157.8521
2, Intermountain Pwr Agy Utah,49035.0,"Salt Lake, UT",UT,41620.0,"Salt Lake City, UT",40.5541,84095,-111.9539
3, New Jersey St Turnpike Authority,34023.0,"Middlesex, NJ",NJ,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.556,07095,-74.2845
4, Triborough Bridge & Tunnel Authority,36061.0,"New York, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.8011,10035,-73.9371
5, Aurora Colo Wtr Sys Rev,8005.0,"Arapahoe, CO",CO,19740.0,"Denver-Aurora-Lakewood, CO",39.6987,80012,-104.8377
6, District Columbia Income Tax Rev,11001.0,"District of Columbia, DC",DC,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.9122,20001,-77.0177
7, New York State Personal Income Tax Bonds,36061.0,"New York, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.7139,10007,-74.007
8, Prince Georges Cnty Md,24033.0,"Prince George's, MD",MD,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.8377,20772,-76.798
9, Tempe Ariz,4013.0,"Maricopa, AZ",AZ,38060.0,"Phoenix-Mesa-Scottsdale, AZ",33.4227,85281,-111.9261
10, Texas (State Of),48453.0,"Travis, TX",TX,12420.0,"Austin-Round Rock, TX",30.2713,78701,-97.7426
11, Riverside Calif Wtr Rev,6065.0,"Riverside, CA",CA,40140.0,"Riverside-San Bernardino-Ontario, CA",33.9533,92522,-117.3962
12, County Of Ocean Cnty N J,34029.0,"Ocean, NJ",NJ,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.0008,08754,-74.2493
13, Dallas Tex Indpt Sch Dist,48113.0,"Dallas, TX",TX,19100.0,"Dallas-Fort Worth-Arlington, TX",32.8038,75204,-96.7851
14, Tobacco Settlement New Jersey Senior1A,51760.0,"City of Richmond, VA",VA,40060.0,"Richmond, VA",37.5463,23219,-77.4378
15, Carroll Cnty Ga Sch Dist,13045.0,"Carroll, GA",GA,12060.0,"Atlanta-Sandy Springs-Roswell, GA",33.6045,30116,-85.0499
16, Metropolitan Transportation Authority,36061.0,"New York, NY",NY,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",40.6964,10004,-74.0253
17, Los Angeles Calif Cmnty College Dist,6037.0,"Los Angeles, CA",CA,31080.0,"Los Angeles-Long Beach-Anaheim, CA",34.0559,90017,-118.2666
18, Washington Metropolitan Area Transit Authority,11001.0,"District of Columbia, DC",DC,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.9122,20001,-77.0177
19, Washington Subn San Dist Md,24033.0,"Prince George's, MD",MD,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.1077,20707,-76.872
